"","NAME","SIGNIFICANT","SERIOUS","SYSTEM_TYPE","FATAL","INJURE","TOTAL_COST_CURRENT","MAP_CAUSE","year","CoF"
"145","TEXAS EASTERN GAS PIPELINE CO","YES","YES","GT (Gas Transmission)",0,1,"87910.0034025179","ALL OTHER CAUSES",1988,3421243
"146","SOUTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"6620600.03402518","NATURAL FORCE DAMAGE",1988,6620600
"147","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","YES","NO","GT (Gas Transmission)",0,0,"146516.67233753","CORROSION",1988,146517
"148","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"189494.896223205","EXCAVATION DAMAGE",1988,189495
"149","NATURAL GAS PIPELINE CO OF AMERICA","YES","YES","GT (Gas Transmission)",0,3,"0","ALL OTHER CAUSES",1988,1e+07
"150","TEXACO INC","NO","NO","GT (Gas Transmission)",0,0,"23442.6675740048","CORROSION",1988,23443
"151","FLORIDA GAS TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"97677.7815583532","CORROSION",1988,97678
"152","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"390711.126233413","MATERIAL/WELD/EQUIP FAILURE",1988,390711
"153","COLUMBIA GAS TRANSMISSION CORP","YES","YES","GT (Gas Transmission)",0,1,"0","ALL OTHER CAUSES",1988,3333333
"154","GAS CO OF NEW MEXICO","YES","NO","GT (Gas Transmission)",0,0,"141372.960360667","EXCAVATION DAMAGE",1988,141373
"155","AMOCO GAS CO","NO","NO","GT (Gas Transmission)",0,0,"3438.25791085403","CORROSION",1988,3438
"156","UNITED TEXAS TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"9767.77815583532","MATERIAL/WELD/EQUIP FAILURE",1988,9768
"157","LONE STAR GAS CO","YES","YES","GT (Gas Transmission)",0,1,"16136.3695134399","EXCAVATION DAMAGE",1988,3349470
"158","FLORIDA GAS TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"100608.115005104","ALL OTHER CAUSES",1988,100608
"159","UNITED TEXAS TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"14651.667233753","EXCAVATION DAMAGE",1988,14652
"160","LONE STAR GAS CO","NO","NO","GT (Gas Transmission)",0,0,"18558.7784960871","EXCAVATION DAMAGE",1988,18559
"161","LONE STAR GAS CO","NO","NO","GT (Gas Transmission)",0,0,"29303.334467506","EXCAVATION DAMAGE",1988,29303
"162","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"293033.34467506","CORROSION",1988,293033
"163","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"234426.675740048","CORROSION",1988,234427
"164","PHILLIPS PETROLEUM CO","YES","YES","GG (Gas Gathering)",0,2,"0","ALL OTHER CAUSES",1988,6666667
"165","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","YES","NO","GT (Gas Transmission)",0,0,"244194.453895883","ALL OTHER CAUSES",1988,244194
"166","CHEVRON USA INC","YES","NO","GG (Gas Gathering)",0,0,"136748.894181694","CORROSION",1988,136749
"167","NORTHWEST PIPELINE CORP","NO","NO","GT (Gas Transmission)",0,0,"46885.3351480095","EXCAVATION DAMAGE",1988,46885
"168","NORTHERN ILLINOIS GAS CO","NO","NO","GT (Gas Transmission)",0,0,"97677.7815583532","ALL OTHER CAUSES",1988,97678
"169","COLUMBIA GAS TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"488388.907791766","ALL OTHER CAUSES",1988,488389
"170","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"156284.450493365","EXCAVATION DAMAGE",1988,156284
"171","VALERO TRANSMISSION CO","NO","NO","GT (Gas Transmission)",0,0,"2344.26675740048","EXCAVATION DAMAGE",1988,2344
"172","PHILLIPS PETROLEUM CO","YES","YES","GT (Gas Transmission)",0,1,"136748.894181694","EXCAVATION DAMAGE",1988,3470082
"173","BEAR CREEK STORAGE CO","NO","NO","GT (Gas Transmission)",0,0,"107250.204151072","ALL OTHER CAUSES",1988,107250
"174","ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)","NO","NO","GT (Gas Transmission)",0,0,"3487.09680163321","EXCAVATION DAMAGE",1988,3487
"175","SOUTHERN CALIFORNIA GAS CO","YES","NO","GT (Gas Transmission)",0,0,"140656.005444029","MATERIAL/WELD/EQUIP FAILURE",1988,140656
"176","VALERO TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"214891.119428377","EXCAVATION DAMAGE",1988,214891
"177","GARLAND, CITY OF","NO","NO","GT (Gas Transmission)",0,0,"3125.6890098673","ALL OTHER CAUSES",1988,3126
"178","LOUISIANA INTRASTATE GAS CORP","NO","NO","GT (Gas Transmission)",0,0,"29303.334467506","CORROSION",1988,29303
"179","LOUISIANA INTRASTATE GAS CORP","NO","NO","GT (Gas Transmission)",0,0,"9767.77815583532","EXCAVATION DAMAGE",1988,9768
"180","SOUTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"429782.238856754","NATURAL FORCE DAMAGE",1988,429782
"181","SOUTHWESTERN GAS PIPELINE INC","NO","NO","GT (Gas Transmission)",0,0,"7358.05706344016","EXCAVATION DAMAGE",1989,7358
"182","TENNESSEE GAS PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"93876.7168083715","CORROSION",1989,93877
"183","CHEVRON USA INC","YES","NO","GG (Gas Gathering)",0,0,"469383.584041858","CORROSION",1989,469384
"184","WILLISTON BASIN INTERSTATE PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"37550.6867233486","EXCAVATION DAMAGE",1989,37551
"185","NORTHERN NATURAL GAS CO","YES","YES","GT (Gas Transmission)",1,0,"0","ALL OTHER CAUSES",1989,1e+07
"186","SOUTHERN CALIFORNIA GAS CO","YES","NO","GG (Gas Gathering)",0,0,"312568.90098673","CORROSION",1988,312569
"187","WARREN PETROLEUM CO (NEW MEXICO GAS PIPELINE)","YES","NO","GT (Gas Transmission)",0,0,"375506.867233486","ALL OTHER CAUSES",1989,375507
"188","TRANSCO GAS PIPELINE CORP","YES","NO","GT (Gas Transmission)",0,0,"563260.300850229","ALL OTHER CAUSES",1989,563260
"189","TENNESSEE GAS PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"93876.7168083715","MATERIAL/WELD/EQUIP FAILURE",1989,93877
"190","TENNESSEE GAS PIPELINE CO","YES","YES","GT (Gas Transmission)",0,1,"93876.7168083715","EXCAVATION DAMAGE",1989,3427210
"191","SOUTHEAST ALABAMA GAS DISTRICT","NO","NO","GT (Gas Transmission)",0,0,"14821.2560497057","EXCAVATION DAMAGE",1989,14821
"192","CABOT GAS SUPPLY CORP","NO","NO","GT (Gas Transmission)",0,0,"84489.0451275343","EXCAVATION DAMAGE",1989,84489
"193","SOUTHERN NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"93876.7168083715","EXCAVATION DAMAGE",1989,93877
"194","RINGWOOD GATHERING CO","YES","YES","GT (Gas Transmission)",0,2,"75101.3734466972","ALL OTHER CAUSES",1989,6741768
